Num_Acc,lum,agg,int,atm,col,com,adr,lat,long,dep,date
201800050213,1,2,2,2.0,6.0,101.0,"12, QUAI FRANCOIS MITTER",48.86010,2.33333,750,2018-01-20 13:00:00
201800050217,5,2,2,1.0,3.0,101.0,RUE ETIENNE MARCEL,48.86530,2.34307,750,2018-01-30 18:35:00
201800050225,1,2,3,8.0,6.0,101.0,"224, RUE DE RIVOLI",48.86530,2.32728,750,2018-02-19 16:20:00
201800050240,1,2,2,1.0,3.0,101.0,"172, RUE DE RIVOLI",48.86270,2.33525,750,2018-04-06 15:40:00
201800050241,1,2,1,1.0,6.0,101.0,QUAI DES TUILERIES,48.86230,2.32551,750,2018-04-12 12:05:00
201800050252,1,2,2,2.0,3.0,101.0,"25, RUE DE LA REYNIE",48.86020,2.34826,750,2018-04-30 08:53:00
201800050255,1,2,2,1.0,3.0,101.0,RUE DE RIVOLI,48.85990,2.34395,750,2018-05-04 19:50:00
201800050257,2,2,2,1.0,3.0,104.0,QUAI HENRI IV,48.85080,2.36140,750,2018-05-09 17:15:00
201800050258,1,2,5,1.0,3.0,101.0,RUE DE RIVOLI,48.86040,2.34232,750,2018-05-12 14:00:00
201800050259,1,2,1,2.0,7.0,101.0,"14, QUAI DU LOUVRE",48.85870,2.34139,750,2018-05-12 16:00:00
201800050271,1,2,7,1.0,6.0,101.0,"93, RUE DE RIVOLI",48.86250,2.33607,750,2018-06-03 09:55:00
201800050274,1,2,1,1.0,6.0,109.0,"13, RUE NOTRE DAME DE LO",48.87760,2.33832,750,2018-06-12 19:00:00
201800050278,1,2,2,1.0,3.0,101.0,", RUE SAINT HONORE",48.86740,2.32619,750,2018-06-17 20:35:00
201800050285,1,2,2,1.0,3.0,101.0,"134, RUE DE RIVOLI",48.86010,2.34337,750,2018-06-29 21:00:00
201800050286,1,2,1,1.0,2.0,101.0,"234, RUE DE RIVOLI",48.86540,2.32697,750,2018-07-02 11:30:00
201800050289,1,2,1,1.0,6.0,101.0,"228, RUE DE RIVOLI",48.86510,2.32799,750,2018-07-06 18:05:00
201800050291,1,2,3,1.0,2.0,101.0,"194 BIS, RUE DE RIVOLI",48.86400,2.33134,750,2018-07-10 09:53:00
201800050295,1,2,2,1.0,3.0,101.0,RUE DE RIVOLI,48.86152,2.33916,750,2018-07-19 09:45:00
201800050299,1,2,7,1.0,6.0,101.0,PLACE DU CARROUSEL,48.86089,2.33181,750,2018-07-23 11:40:00
201800050302,1,2,3,1.0,3.0,102.0,BOULEVARD DE BONNE NOUVE,48.87047,2.34872,750,2018-08-01 12:40:00
201800050303,1,2,2,1.0,7.0,101.0,RUE ETIENNE MARCEL,48.86379,2.34935,750,2018-08-02 15:10:00
201800050306,1,2,4,1.0,6.0,101.0,BOULEVARD DE LA MADELEIN,48.86941,2.32546,750,2018-08-13 13:10:00
201800050313,5,2,2,1.0,3.0,109.0,RUE LA FAYETTE,48.879907,2.35947,750,2018-08-31 21:05:00
201800050315,1,2,1,1.0,3.0,103.0,RUE DE TURENNE,48.86449,2.36467,750,2018-09-06 11:40:00
201800050323,1,2,2,1.0,6.0,103.0,RUE BEAUBOURG,48.86000,2.35000,750,2018-09-29 13:20:00
201800050324,1,2,2,1.0,3.0,101.0,RUE DES PETITS CHAMPS,48.86730,2.33460,750,2018-09-30 11:35:00
201800050337,1,2,2,1.0,3.0,101.0,RUE DE RIVOLI,48.85854,2.34825,750,2018-11-17 12:00:00
201800050338,1,2,2,8.0,3.0,101.0,RUE COQ HERON,48.86400,2.34100,750,2018-11-22 09:05:00
201800050340,5,2,2,2.0,3.0,101.0,BOULEVARD DU PALAIS,48.85598,2.34635,750,2018-11-28 07:50:00
201800050341,1,2,1,8.0,6.0,101.0,RUE SAINT HONORE,48.86090,2.34519,750,2018-11-30 09:22:00
201800050343,1,2,3,2.0,6.0,101.0,RUE DE RIVOLI,48.85933,2.34524,750,2018-12-02 15:15:00
201800050355,1,2,7,8.0,3.0,102.0,"7, PLACE DE LA BOURSE",48.86870,2.34133,750,2018-02-01 15:30:00
201800050359,1,2,1,1.0,3.0,101.0,"19, RUE DU LOUVRE",48.86470,2.34275,750,2018-02-12 09:20:00
201800050370,2,2,2,3.0,3.0,102.0,"111, RUE REAUMUR",48.86820,2.34361,750,2018-05-28 19:20:00
201800050371,1,2,1,1.0,6.0,104.0,"27, RUE DE TURENNE",48.85640,2.36422,750,2018-06-12 19:23:00
201800050372,1,2,2,1.0,3.0,102.0,", BOULEVARD DE SEBASTOPO",48.86620,2.35251,750,2018-06-14 19:50:00
201800050373,1,2,1,1.0,3.0,103.0,"40, RUE PASTOURELLE",48.86310,2.35876,750,2018-06-16 13:50:00
201800050375,1,2,2,1.0,6.0,102.0,"10, RUE SAINT AUGUSTIN",48.86890,2.33667,750,2018-06-19 12:55:00
201800050381,1,2,2,1.0,6.0,102.0,RUE DE TURBIGO,48.80000,2.34000,750,2018-08-17 10:35:00
201800050385,1,2,3,1.0,6.0,102.0,RUE DUSSOUBS,48.866165,2.3491,750,2018-09-04 09:10:00
201800050388,1,2,3,8.0,7.0,103.0,BOULEVARD BEAUMARCHAIS,48.86066,2.36730,750,2018-09-21 09:25:00
201800050389,1,2,1,1.0,2.0,102.0,BOULEVARD SAINT DENIS,48.86947,2.35290,750,2018-09-27 13:20:00
201800050392,1,2,7,1.0,3.0,102.0,PLACE DE L OPERA,48.87024,2.33256,750,2018-10-05 17:30:00
201800050400,5,2,1,1.0,6.0,102.0,RUE DU MAIL,48.86665,2.34192,750,2018-11-02 20:40:00
201800050401,1,2,3,1.0,6.0,103.0,BOULEVARD BEAUMARCHAIS,48.85685,2.36797,750,2018-11-02 13:50:00
201800050409,1,2,1,1.0,6.0,103.0,RUE DES FILLES DU CALVAI,48.86230,2.36510,750,2018-12-13 09:00:00
201800050426,1,2,2,1.0,3.0,103.0,"13, RUE AUX OURS",48.86320,2.35164,750,2018-02-16 14:20:00
201800050429,5,2,2,2.0,3.0,103.0,", BOULEVARD DE SEBASTOPO",48.86340,2.35094,750,2018-03-07 07:00:00
201800050430,1,2,2,2.0,3.0,103.0,BOULEVARD DE SEBASTOPOL,48.86340,2.35094,750,2018-03-07 08:35:00
201800050436,5,2,2,1.0,3.0,103.0,"92, BOULEVARD DE SEBASTO",48.86620,2.35251,750,2018-03-29 06:40:00
201800050439,5,2,7,1.0,3.0,103.0,"23, PLACE DE LA REPUBLIQ",48.86800,2.36223,750,2018-04-05 20:40:00
201800050440,5,2,3,1.0,3.0,103.0,"53, RUE DE TURENNE",48.85810,2.36446,750,2018-04-06 22:00:00
201800050442,1,2,2,1.0,7.0,103.0,"167, RUE DU TEMPLE",48.86470,2.35967,750,2018-04-16 19:40:00
201800050451,1,2,1,1.0,2.0,103.0,"60, RUE VIEILLE DU TEMPL",48.85900,2.35922,750,2018-05-03 08:45:00
201800050452,1,2,7,1.0,3.0,103.0,"23, PLACE DE LA REPUBLIQ",48.86800,2.36223,750,2018-05-09 15:50:00
201800050453,2,2,3,1.0,3.0,104.0,"40, QUAI DES CELESTINS",48.85290,2.35896,750,2018-05-09 20:15:00
201800050454,1,2,2,8.0,3.0,103.0,"46, RUE DE BRETAGNE",48.86340,2.36151,750,2018-05-14 12:40:00
201800050459,5,2,2,1.0,3.0,103.0,"01, RUE DES ARCHIVES",48.86120,2.35819,750,2018-06-04 21:40:00
201800050466,1,2,3,1.0,2.0,103.0,"77, RUE DE TURBIGO",48.86640,2.36039,750,2018-07-03 12:50:00
201800050466,1,2,3,1.0,2.0,103.0,"77, RUE DE TURBIGO",48.86640,2.36039,750,2018-07-03 12:50:00
201800050468,1,2,1,1.0,2.0,103.0,RUE DU VERTBOIS,48.867114,2.357751,750,2018-07-18 20:15:00
201800050472,2,2,3,1.0,3.0,103.0,BOULEVARD BEAUMARCHAIS,48.86029,2.36704,750,2018-08-12 06:30:00
201800050473,1,2,2,1.0,6.0,104.0,RUE DES FRANCS BOURGEOIS,48.85731,2.36134,750,2018-08-15 14:15:00
201800050478,5,2,2,1.0,6.0,103.0,RUE DE TURENNE,48.85814,2.36444,750,2018-09-17 00:07:00
201800050481,1,2,2,1.0,6.0,103.0,RUE REAUMUR,48.86474,2.35934,750,2018-09-26 17:35:00
201800050484,5,2,3,1.0,6.0,103.0,BOULEVARD SAINT DENIS,48.86800,2.35500,750,2018-10-04 23:41:00
201800050490,1,2,1,8.0,6.0,103.0,RUE FROISSART,48.86163,2.36558,750,2018-10-22 14:20:00
201800050494,5,2,2,1.0,3.0,104.0,QUAI DES CELESTINS,48.85000,2.35000,750,2018-10-28 19:40:00
201800050494,5,2,2,1.0,3.0,104.0,QUAI DES CELESTINS,48.85000,2.35000,750,2018-10-28 19:40:00
201800050499,1,2,1,1.0,3.0,103.0,BOULEVARD DU TEMPLE,48.86491,2.365953,750,2018-11-06 14:14:00
201800050502,1,2,3,1.0,3.0,103.0,RUE DE TURENNE,48.86172,2.36467,750,2018-11-18 15:35:00
201800050506,5,2,4,2.0,3.0,101.0,RUE SAINT HONORE,48.86318,2.33552,750,2018-12-05 22:30:00
201800050509,1,2,5,1.0,3.0,103.0,RUE DE TURENNE,48.86000,2.37000,750,2018-12-18 16:35:00
201800050525,1,2,2,1.0,3.0,104.0,RUE DE RIVOLI,48.85750,2.35141,750,2018-02-02 09:55:00
201800050532,5,2,2,2.0,6.0,104.0,QUAI DE L HOTEL DE VILLE,48.85440,2.35494,750,2018-03-06 19:08:00
201800050535,1,2,1,1.0,6.0,103.0,"7, BOULEVARD SAINT MARTI",48.86810,2.36131,750,2018-03-23 10:45:00
